序号,单位名称,合计项数,合计金额,数理科学部项数,数理科学部金额,化学科学部项数,化学科学部金额,生命科学部项数,生命科学部金额,地球科学部项数,地球科学部金额,工程与材料科学部项数,工程与材料科学部金额,信息科学部项数,信息科学部金额,管理科学部项数,管理科学部金额,医学科学部项数,医学科学部金额,科学学科项数,科学学科金额,工程管理学科项数,工程管理学科金额
23,苏州大学,165,9606,11,647,23,1501,20,1157,0,0,22,1320,17,1024,5,242,67,3715,121,7020,44,2586
24,华南理工大学,157,9342,7,396,32,2080,15,823,1,61,59,3547,28,1715,7,338,8,382,63,3742,94,5600
25,南开大学,150,8973.9,27,1518,37,2417.9,31,1810,2,123,10,607,16,1021,7,332,20,1145,117,7013.9,33,1960
26,华中农业大学,133,7841.5,0,0,2,131,108,6393,13,795.5,3,180,0,0,6,285,1,57,124,7376.5,9,465
27,南京医科大学,138,7709.3,0,0,1,64,10,593,0,0,0,0,0,0,3,144.3,124,6908,135,7565,3,144.3
28,南方医科大学,134,7569,0,0,2,127,8,441,0,0,0,0,1,63,1,49,122,6889,132,7457,2,112
29,西北工业大学,122,7266,27,1646,6,392,2,120,0,0,56,3363,26,1494,4,194,1,57,36,2215,86,5051
30,重庆大学,120,7207,14,848,8,518,4,237,1,62,73,4378,9,573,4,192,7,399,34,2064,86,5143
31,首都医科大学,122,6795,0,0,0,0,4,241,0,0,0,0,3,196,1,48,114,6310,118,6551,4,244
32,湖南大学,112,6779.8,7,388,18,1176.8,5,299,0,0,56,3383,19,1198,7,335,0,0,30,1863.8,82,4916
33,南京农业大学,116,6758,0,0,3,197,99,5764,9,549,0,0,0,0,4,191,1,57,112,6567,4,191
34,北京理工大学,109,6593,30,1878,19,1240,2,122,1,62,15,885,31,1857,9,433,2,116,54,3418,55,3175
35,电子科技大学,113,6574,5,297,1,66,1,59,4,241,12,723,76,4492,7,337,7,359,18,1022,95,5552
36,兰州大学,105,6283.5,20,1225,17,1109.5,24,1403,28,1657,3,180,2,127,1,50,10,532,99,5926.5,6,357
37,华东师范大学,101,6022.5,26,1479,17,1108,14,799,22,1317.5,3,179,13,783,1,46,5,311,84,5014.5,17,1008
38,中国农业大学,102,5986,0,0,4,258,81,4762,7,421,5,296,2,82,2,87,1,80,93,5521,9,465
39,北京科技大学,99,5960,9,556,5,322,2,120,1,66,63,3789,13,815,6,292,0,0,17,1064,82,4896
40,西北农林科技大学,100,5928.5,0,0,5,329,62,3671,15,916.5,7,427,1,62,8,383,2,140,84,5056.5,16,872
41,北京师范大学,100,5842,17,969,13,849,16,960,28,1694,9,540,4,220,11,528,2,82,76,4554,24,1288
42,东北大学,95,5703.5,2,123,7,456,4,238,5,292.5,50,3012,20,1236,6,290,1,56,19,1165.5,76,4538
